Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
KONDAMN/,kondamn/i,F,BRO8: kondamni,,condamner,condemn,verurtheilen,"osądzać, skazać, potępiać AK",осуждать
KONDIĈ/,kondiĉ/o,F,BRO6: kondiĉo,,condition,condition,Bedingung,warunek,условіе
KONDOLENC/,kondolenc/i,F,,,présenter ses compliments de condoléance AK,condole (with) AK,Beileid bezeigen,"pocieszać, kondolować, okazać współczucie",соболѣзновать
KONDUK/,konduk/i,F,BRO4: konduki,,conduire,"conduct (vb.), steer AK",führen,prowadzić,вести
KONDUK/IL/,konduk/il/o,F,,,rêne,rein,Zügel,leice,поводъ (у лошади)
KONDUT/,kondut/i,F,BRO6: konduti,,se conduire (bien ou mal),"behave, conduct (oneself) (intr.) AK","sich aufführen, sich benehmen","prowadzić się, sprawować się",вести себя
KONFES/,konfes/i,F,BRO6: konfesi,,avouer,confess,"bekennen, gestehen",wyznać AK,"признавать, исповѣдывать"
KONFID/,konfid/i,F,BRO8: konfidi,,"se fier, se confier","confide, trust","trauen, vertrauen",dowierzać,довѣрять
KONFIRM/,konfirm/i,F,BRO8: konfirmi,,"confirmer, ratifier","confirm, ratify",bestätigen,"potwierdzać, zatwierdzać AK",утверждать
KONFIT/,konfit/i,F,BRO8: konfiti,,confire,preserve with sugar,einmachen (mit Zucker),smażyć w cukrze,варить въ сахарѣ
KONFORM/,konform/a,F,,,conformément,conformably,"entsprechend, übereinstimmend AK",odpowiedni,сообразный
KONFUZ/,konfuz/i,F,BRO8: konfuzi,,"confondre, embrouiller",confuse,verwirren,"konfundować, zmięszać",смущать
KONGRES/,kongres/o,F +1OA +7OA,BRO7: kongreso,,congrès,congress,Kongress,kongres,конгрессъ
KONJEKT/,konjekt/i,F,BRO8: konjekti,,conjecturer,"conjecture, guess AK",vermuthen,domyślać się AK,догадываться
KONJUGACI/,konjugaci/o,F,,,conjuguer,conjugate,conjugiren,konjugować,спрягать
KONJUNKCI/,konjunkci/o,F,,,conjonction,conjunction,Bindewort,spójnik,союз (грамматич.) AK
KONK/,konk/o,F,,,"coquille, coquillage","shell, conch AK",Muschel,muszla,раковина
KONKLUD/,konklud/i,F,BRO8: konkludi,,conclure,conclude,"schliessen, folgern",wnioskować,выводить заключеніе
KONKUR/,konkur/i,F,BRO8: konkuri,,"rivaliser, concourir AK","rival, compete AK",concurriren,konkurować,конкурировать
KONKURS/,konkurs/o,F,BRO9: konkurso,,concours,a competition AK,Concurs,konkurs,конкурсъ
KONSCI/,konsci/i,F,BRO6: konscii,,avoir conscience,be conscious of,sich bewusst sein,mieć świadomość,сознавать
KONSCIENC/,konscienc/o,F,BRO8: konscienco,,consciénce,conscience,Gewissen,sumienie,совѣсть
KONSEKVENC/,konsekvenc/o,F,BRO9: konsekvenco,,conséquent,consequent,consequent,konsekwentny,послѣдовательный
KONSENT/,konsent/i,F,BRO4: konsenti,,"consentir, être d’accord AK",consent,"übereinstimmen, einwilligen",zgadzać się,соглашаться
KONSERV/,konserv/i,F,BRO5: konservi,,conserver,preserve,aufbewahren,"przechowywać, zachowywać",сохранять
KONSIDER/,konsider/i,F,BRO7: konsideri,,considérer,consider,"betrachten, überlegen, erwägen","zastanawiać się, rozmyślać",соображать
KONSIL/,konsil/i,F,BRO3: konsili,,conseiller,"advise, counsel",rathen,radzić,совѣтовать
KONSIST/,konsist/i,F,BRO6: konsisti,,consister,consist,bestehen (aus...),składać się (z czego) AK,состоять AK
KONSOL/,konsol/i,F,BRO7: konsoli,,consoler,console,trösten,pocieszać,утѣшать
KONSONANT/,konsonant/o,F,,,consonne,consonant (gram.) AK,Konsonant,spółgłoska,согласная
KONSPIR/,konspir/i,F,,,conspirer,conspire,sich verschwören,spiskować AK,дѣлать заговоръ
KONSTANT/,konstant/a,F,BRO6: konstanta,,constant,constant,beständig,"stały, ustawiczny",постоянный
KONSTAT/,konstat/i,F,BRO7: konstati,,constater,"prove, verify","feststellen, konstatieren AK",konstatować,подтверждать AK
KONSTERN/,konstern/i,F,,,consterner,"dismay, disconcert, startle AK",bestürzen,"konsternować, przerażać AK","озадачивать, смущать"
KONSTRU/,konstru/i,F,BRO3: konstrui,,construire,"construct, build",bauen,budować,строить
KONSUM/,konsum/i,F,BRO9: konsumi,,consumer,consume,"verzehren, verbrauchen AK","konsumować, zużywać AK","истощать, потреблять"
KONTANT/,kontant/a,F,BRO9: kontanta,,comptant,paid in cash,baar,w gotówce,наличный
KONTENT/,kontent/a,F,BRO4: kontenta,,content,content,zufrieden,zadowolony,довольный
KONTOR/,kontor/o,F,,,comptoir,"office, counting-house",Komptor,kantor (biuro),контора
KONTRAKT/,kontrakt/i,F,BRO8: kontrakti,,faire un contrat AK,contract,einen Vertrag abschliessen,zawierać umowę,заключать договоръ
KONTRAŬ,kontraŭ,F,BRO1: kontraŭ,,"contre, en face de, vis-à-vis de AK","against, opposite AK",gegen,przeciw,противъ
KONTRAŬ/E,kontraŭ/e,F,,,vis-à-vis; au contraire,over against; on the contrary,gegenüber; im Gegentheil,przeciwnie; naprzeciw,напротивъ; насупротивъ
KONTROL/,kontrol/i,F +1OA +7OA,BRO8: kontroli,,contrôler,"check, verify",kontrollieren,kontrolować,контролировать
KONTUR/,kontur/o,F,,,contour,"outline, contour",Umriss,kontur,контуръ
KONTUZ/,kontuz/i,F,,,"contusionner, meurtrir AK",contuse,"wund stossen, quetschen","stłuc, kontuzyować AK","контузить, ушибить"
KONUS/,konus/o,F,,,cône,cone,Konus,ostrokrąg,конусъ
KONVAL/,konval/o,F,BRO9: konvalo,,muguet,lily of the valley AK,Maiblümchen,konwalia,ландышъ
KONVEN/,konven/a,F,BRO6: konvena,,convenir,"be suitable, suit AK","sich passen, sich geziemen AK","wypadać, przystawać",приличествовать
KONVERT/,konvert/i,F,,,convertir,convert (vb.) AK,bekehren,nawrócić,обращать (напр. въ христіанство)
KONVINK/,konvink/i,F,BRO8: konvinki,,convaincre,convince,überzeugen,przekonać,убѣждать
KONVULSI/,konvulsi/o,F,,,convulsion,convulsion,Zuckung AK,konwulsye,"судорога, конвульсия AK"
KOPEK/,kopek/o,F +1OA +7OA,,,copek,kopeck,Kopeke,kopiejka,копейка
KOPI/,kopi/o,F,BRO8: kopio,,copier,copy,"abschreiben, kopieren AK",kopjować,копировать
KOR/,kor/o,F,BRO2: koro,,cœur,heart,Herz,serce,сердце
KORAN/,Koran/o,F,,,Coran,Coran,Koran,Koran,Коранъ
KORB/,korb/o,F,BRO5: korbo,,panier corbeille,basket,Korb,kosz,корзина
KORD/,kord/o,F,BRO8: kordo,,corde (mus.) AK,string (mus. instr.) AK,Saite,struna,струна
KOREKT/,korekt/i,F,BRO9: korekti,,corriger,correct,"berichtigen, verbessern AK",poprawiać,исправлять
KORESPOND/,korespond/i,F,BRO6: korespondi,,correspondre,correspond,"Briefe wechseln, korrespondieren AK",korespondować,переписываться
KORK/,kork/o,F,BRO8: korko,,bouchon,a cork AK,Kork,korek,пробка
KORN/,korn/o,F,BRO6: korno,,corne,horn,Horn,róg (zwierzęcy) AK,рогъ
KORNIC/,kornic/o,F,,,corniche,cornice AK,Gesims,gzems,карнизъ
KORP/,korp/o,F,BRO4: korpo,,corps,body,Körper,cialo,тѣло
KORPORACI/,korporaci/o,F,,,corporation,corporation,"Zunft, Körperschaft","korporacya, cech","цехъ, корпорація"
KORPUS/,korpus/o,F,,,corps (d’armée) AK,body of an army,Corps,korpus (armii) AK,корпус (часть армии) AK
KORT/,kort/o,F,BRO3: korto,,cour,"court, courtyard AK",Hof,podwórze,дворъ
KORT/EG/,kort/eg/o,F,,,cour (d’un souverain),court (of a king) AK,Hof (eines Fürsten) AK,dwór (np. królewski) AK,Дворъ (царскій)
KORV/,korv/o,F,BRO9: korvo,,corbeau,raven,Rabe,kruk,воронъ
KOST/,kost/i,F,BRO3: kosti,,coûter,cost (vb.) AK,kosten,kosztować,стоить
KOST/O,kost/o,F,,,prix,price,Preis,"koszt, cena",стоимость AK
KOSTUM/,kostum/o,F,BRO9: kostumo,,costume,costume,"Kostüm, Tracht AK",kostjum,костюмъ
KOT/,kot/o,F,BRO8: koto,,boue,dirt,"Koth, Schmutz",błoto,грязь
KOTON/,koton/o,F,BRO7: kotono,,coton,cotton (product) AK,Baumwolle,bawełna,хлопчатая бумага
KOTURN/,koturn/o,F,,,caille,quail (bird),Wachtel,przepiórka,перепелъ
KOV/,kov/i,F,,,couver,"brood, sit (as a hen etc.) AK",brüten,wylęgać,высиживать птенцовъ
KOVERT/,kovert/o,F,BRO5: koverto,,enveloppe (à lettres),envelope,Briefcouvert,koperta,конвертъ
KOVR/,kovr/i,F,BRO4: kovri,,couvrir,cover,"bedecken, verhüllen AK",zakrywać,закрывать
KOVR/IL/,kovr/il/o,F,,,contrevent,window shutter,Fensterladen,okiennica,ставень
KRAĈ/,kraĉ/i,F,BRO9: kraĉi,,cracher,spit,speien,pluć,плевать
KRAD/,krad/o,F,BRO8: krado,,grille,"grating, crossbars AK",Gitter,krata,рѣшетка
KRAJON/,krajon/o,F,BRO5: krajono,,crayon,pencil,Bleistift,ołówek,карандашъ
KRAK/,krak/i,F,,,craquer,"crack, noise AK","krachen, knacken AK",trzeszczeć,трещать
KRAKEN/,kraken/o,F,,,craquelin,cracknel,Bretzel,ciastko (suche) AK,крендель
KRAMP/,kramp/o,F,,,"crampon, parenthèse","clamp, bracket AK","Krampe, Klammer",klamra,"скоба, скобка AK"
KRAN/,kran/o,F,BRO8: krano,,robinet,"tap, cock AK","Zapfen, Hahn AK",kran,кранъ
KRANI/,krani/o,F,BRO9: kranio,,crâne,skull,Schädel,czaszka,черепъ
KRATAG/,kratag/o,F,,,aubépine,hawthorn,Weissdorn,głóg,боярышникъ
KRATER/,krater/o,F,,,cratère,crater,Krater,krater,"жерло, кратеръ"
KRAVAT/,kravat/o,F,BRO6: kravato,,cravate,cravat,"Halsbinde, Cravate",krawat,галстукъ
KRE/,kre/i,F,BRO5: krei,,créer,create,"schaffen, erschaffen",stwarzać,создавать
KRED/,kred/i,F,BRO2: kredi,,croire,believe,glauben,wierzyć,вѣрить
KRED/EBL/,kred/ebl/a,F,,,"vraisemblable, probable",probable AK,"glaublich, warscheinlich AK",prawdopodobny,вѣроятный
KREM/,krem/o,F,BRO7: kremo,,crème,cream,"Schmant, Sahne",śmietanka AK,сливки
KREN/,kren/o,F,,,raifort,horse-radish,Meerrettig,chrzan,хрѣнъ
KREP/,krep/o,F,,,crêpe,crape,Krepp,krepa,крепъ
KREPUSK/,krepusk/o,F,BRO8: krepusko,,crépuscule,twilight,Dämmerung,zmierzch,сумерки
KRESK/,kresk/i,F,BRO3: kreski,,croître,"grow, increase",wachsen,rosnać,рости
KRESK/AĴ/,kresk/aĵ/o,F,,,plante,"plant, growth AK",Pflanze,roślina,растеніе
KRET/,kret/o,F,BRO8: kreto,,craie,chalk,Kreide,kreda,мѣлъ
KREV/,krev/i,F,BRO7: krevi,,"crever, éclater AK",burst (intr.) AK,"platzen, bersten AK",pęknąć,лопнуть
KRI/,kri/i,F,BRO3: krii,,crier,"cry out, cry AK",schreien,krzyczeć,кричать
KRIBR/,kribr/i,F,,,"cribler, tamiser","sieve, sift AK","sieben, durchsieben","przecedzić, przesiać",просѣивать
KRIM/,krim/o,F,BRO6: krimo,,crime,crime,Verbrechen,"występek, przestępstwo",преступленіе
KRIMINAL/,kriminal/a,F,,,criminel,criminal (adj.) AK,criminal,"karny, kryminalny","уголовный, криминальный AK"
KRING/,kring/o,F,,,gimblette (pâtisserie) AK,ring-shaped cake AK,Kringel,obwarzanek,бубликъ
KRIPL/,kripl/a,F,BRO8: kripla,,estropié,"deformed, cripple (adj.) AK","verstümmelt, verkrüppelt AK",kaleki,уродливый
KRISP/,krisp/o,F,,,fraise (anat. et costume) AK,"mesentery, ruffle (a) AK","Krause, Gekröse",kreza,"брыжи, брыжейка, курчавость"
KRIST/,Krist/o,F,,,Christ,Christ,Christus,Chrystus,Христосъ
KRIST/AN/,krist/an/o,F,,,chrétien,christian,Christ,chrześci janin,христіанинъ
KRIST/NASK/,krist/nask/o,F,,,Noël,Christmas,Weihnachten,Boże Narodzenie,Рождество Христово
KRISTAL/,kristal/o,F,BRO9: kristalo,,cristal,crystal,Krystall,krysztal,кристаллъ
KRITIK/,kritik/i,F,BRO8: kritiki,,critiquer,criticise AK,kritisiren,krytykować,критиковать
KRIZ/,kriz/o,F,BRO8: krizo,,crise,crisis,Krisis,kryzys,кризисъ
KROĈ/,kroĉ/i,F,BRO7: kroĉi,,accrocher,"hook to, cling to","anhaken, anklammern",czepiać,зацеплять AK
KROKODIL/,krokodil/o,F,BRO9: krokodilo,,crocodile,crocodile,Krokodill,krokodyl,крокодилъ
KROM,krom,F,BRO1: krom,,"hors, hormis, outre, à part, indépendamment de AK","not counting, besides, except AK",ausser,oprócz,кромѣ
KRON/,kron/o,F,BRO8: krono,,couronne,crown,"Krone, Kranz","wieniec, korona AK","вѣнецъ, вѣнокъ"
KRONIK/,kronik/a,F,,,chronique,chronicle,Chronik,kronika,"хроника, летопись AK"
KROP/,krop/o,F,,,"jabot, gésier AK","crop, craw",Kropf,wole,зобъ
KROZ/,kroz/i,F,,,croiser,cruise (of warships) AK,kreuzen (von Kriegsschiffen),krążyć (o okrętach) AK,крейсировать
KRUC/,kruc/o,F,BRO5: kruco,,croix,cross,Kreuz,krzyż,крестъ
KRUC/UM/,kruc/um/i,F,,,crucifier,crucify,kreuzigen,ukrzyżować,распинать на крестѣ
KRUĈ/,kruĉ/o,F,BRO8: kruĉo,,cruche,"jug, pitcher, cruise AK",Krug,dzban,кувшинъ
KRUD/,krud/a,F,BRO7: kruda,,"cru, rudé","raw, crude, rough","roh, rauh",surowy (produkt) AK,"сырой, суровый"
KRUEL/,kruel/a,F,BRO8: kruela,,cruel,cruel,grausam,okrutny,жестокій
KRUP/,krup/o,F,,,croup,croup,Croup,krup,крупъ
KRUR/,krur/o,F,BRO5: kruro,,"cuisse, jambe",leg AK,"Bein, Unterschenkel AK",goleń,голень
KRUST/,krust/o,F,BRO8: krusto,,croute,crust,"Kruste, Rinde AK",strup,"корка, струп AK"
KRUT/,krut/a,F,BRO8: kruta,,"roide, escarpé",steep,steil,stromy,крутой
KUB/,kub/o,F,BRO9: kubo,,cube,cube,Kubus,sześcian,кубъ
KUBUT/,kubut/o,F,BRO8: kubuto,,coude,elbow,Eltbogen,łokieć,локоть
KUDR/,kudr/i,F,BRO7: kudri,,coudre,sew,nähen,szyć,шить
KUF/,kuf/o,F,,,"coiffe, bonnet de femme AK","coif, cap, head-dress AK","Haube, Kappe",czepek,чепецъ
KUGL/,kugl/o,F,BRO8: kuglo,,balle (de fusil),bullet,Kugel (Schiess-),kula (do strzelania) AK,пуля
KUIR/,kuir/i,F,BRO4: kuiri,,faire cuire,cook (vb.) AK,kochen,gotować,варить
KUK/,kuk/o,F,BRO5: kuko,,gâteau,"cake, cookey AK",Kuchen,ciastko AK,пирогъ
KUKOL/,kukol/o,F,BRO8: kukolo,,coucou,cuckoo,Kuckuck,kukułka,кукушка
KUKUM/,kukum/o,F,BRO9: kukumo,,concombre,cucumber,Gurke,ogórek,огурецъ
KUKURB/,kukurb/o,F,BRO9: kukurbo,,"potiron, citrouille AK","pumpkin, gourd AK",Kürbis,dynia AK,тыква
KUL/,kul/o,F,,,"cousin, moustique AK",gnat,Mücke,komar,комаръ
KULER/,kuler/o,F,BRO5: kulero,,cuillère,spoon,Löffel,łyżka,ложка
KULP/,kulp/a,F,BRO5: kulpa,,coupable,"guilty, at fault AK",schuldig,winny,виноватый
KUN,kun,F,BRO1: kun,,avec,with,mit,z,съ
KUN/E,kun/e,F,,,"ensemble, conjointement",together,zusammen,"razem, wraz",вмѣстѣ
KUN/SID/,kun/sid/o,F,,,"séance, session",session,Sitzung,"posiedzenie, sesya",засѣданіе
KUN/TIR/,kun/tir/i,F,,,"contracter, resserrer",draw together AK,zusammenziehen AK,ściągać,стягивать
KUNIKL/,kunikl/o,F,BRO9: kuniklo,,lapin,rabbit,Kaninchen,królik,кроликъ
KUP/,kup/o,F,,,ventouse,cupping-glass,Schröpfkopf,bańka (medyc.) AK,банка (медиц.)
KUPOL/,kupol/o,F,,,"coupole, dôme","cupola, dome",Kuppel,kopuła,куполъ
KUPR/,kupr/o,F,BRO8: kupro,,cuivre,copper,Kupfer,miedź,мѣдь
KUR/,kur/i,F,BRO3: kuri,,courir,run (intr.) AK,laufen,biegać AK,бѣгать
KURAC/,kurac/i,F,BRO5: kuraci,,traiter (une maladie),"treat (as an ilness), cure AK",(ärtzlich) behandeln AK,leczyć,лѣчить
KURAC/IL/,kurac/il/o,F,,,médecine,"medicine, remedy AK",Arznei,lekarstwo,лѣкарство
KURAĜ/,kuraĝ/a,F,BRO3: kuraĝa,,"courageux, hardi",courageous AK,"mutig, kühn AK",smialy,смѣлый
KURATOR/,kurator/o,F,,,"curateur, tuteur AK","trustee, curator AK",Curator,"kurator, opiekun",попечитель
KURB/,kurb/o,F,BRO7: kurbo,,"courbe, tortueux","curved, bent AK","krumm, gebogen AK",krzywy,кривой
KURIER/,kurier/o,F,,,"courrier, messager AK",courier,Courier,kuryer,"курьеръ, вѣстникъ"
KURTEN/,kurten/o,F,BRO8: kurteno,,rideau,curtain,Vorhang,"kurtyna, firanka",занавѣсъ
KUSEN/,kusen/o,F,BRO9: kuseno,,coussin,cushion,Kissen,poduszka,подушка
KUSEN/EG/,kusen/eg/o,F,,,édredon AK,bolster (of bed) AK,"Pfühl, Plumeau AK",pierzyna,перина
KUŜ/,kuŝ/i,F,BRO4: kuŝi,,être couché,lie (down),liegen,leźeć,лежать
KUTIM/,kutim/o,F,BRO4: kutimo,,"avoir coutume, être habitué à AK",be accustomed AK,"gewohnt sein, pflegen AK",przyzwyczajać się,привыкать
KUV/,kuv/o,F,BRO6: kuvo,,cuve AK,"tub, bath AK","Wanne, Kübel AK",wanna,ванна
KUZ/,kuz/o,F,BRO5: kuzo,,cousin,cousin,"Vetter, Cousin",kuzyn,двоюродный братъ
KVANKAM,kvankam,F,BRO1: kvankam,,quoique,although,obgleich,"chociaż, pomimo ze AK",хотя
KVANT/,kvant/o,F,BRO7: kvanto,,quantité,quantity,Quantität,ilość,количество
KVAR,kvar,F,BRO1: kvar,,quatre,four,vier,cztery,четыре
KVARANTEN/,kvaranten/o,F,,,quarantaine,quarantine,Quarantaine,kwarantanna,карантинъ
KVARC/,kvarc/o,F,,,quartz,quartz,Quarz,kwarc,кварцъ
KVART/,kvart/o,F,,,quarte,quart,Quart,kwarta,кварта
KVARTAL/,kvartal/o,F,BRO8: kvartalo,,quartier,"quarter (of town), ward AK",Stadtviertel AK,dzielnica (miasta) AK,кварталъ
KVAZAŬ,kvazaŭ,F,BRO1: kvazaŭ,,comme si,as if,"gleichsam, als ob",jakoby,"как будто, будто-бы AK"
KVERK/,kverk/o,F,BRO8: kverko,,chêne,oak,Eiche,dąb,дубъ
KVIET/,kviet/a,F,BRO6: kvieta,,"doux, tranquille, calme AK","quiet, calm","sanft, ruhig AK","łagodny, spokojny AK","кроткий, спокойный AK"
KVIN,kvin,F,BRO1: kvin,,cinq,five,fünf,pięć,пять
KVIT/,kvit/a,F,,,"quitte, libéré AK",be quit of AK,quitt,kwita AK,"квитъ, въ разсчетѣ"
KVITANC/,kvitanc/o,F,,,"donner quittance, acquitter AK","receipt (vb), give a quittance AK",quittiren,pokwitować,"выдавать квитанцию, расписываться в получении AK"
LA,"l’, la",F,BRO1: la,,"article défini (le, la, les",the,"der, die, das (bestimmter Arttkel)",przedimek określny (nie tłomaczy się),членъ опредѣленный (по русски не переводится)
LABOR/,labor/i,F,BRO2: labori,,travailler,"work, labour AK",arbeiten,pracować,работать
LAC/,lac/a,F,BRO4: laca,,"las, fatigué",weary,müde,zmęczony,усталый
LACERT/,lacert/o,F,BRO9: lacerto,,lézard,lizard,Eidechse,jaszczurka,ящерица
LAĈ/,laĉ/o,F,BRO9: laĉo,,"lacet, cordon AK","lace (boots, stays, etc.) AK",Schnur,sznurek AK,шнуръ
LAD/,lad/o,F,BRO9: lado,,"tôle, fer-blanc",tinned iron AK,Blech,blacha,жесть
LAF/,laf/o,F,,,lava,lava,Lava,lawa,лава
LAG/,lag/o,F,BRO5: lago,,lac,lake,See (der),jezioro,озеро
LAG/ET/,lag/et/o,F,,,étang,pond,Teich,staw,прудъ
LAK/,lak/o,F,BRO9: lako,,vernis,varnish,"Lack, Firniss",lakier AK,лакъ
LAKE/,lake/o,F,,,laquais,lackey,"Lackei, Bedienter",lokaj,лакей
LAKS/,laks/o,F,,,diarrhée AK,"diarrhoea, looseness (of bowels) AK",Durchfall,rozwolnienie,поносъ
LAKT/,lakt/o,F,BRO4: lakto,,lait,milk (subst.) AK,Milch,mleko,молоко
LAKT/UM/,lakt/um/o,F,,,laite,"spawn, milt AK",Milch der Fische,mleczko (ryb),молоки
LAM/,lam/a,F,BRO7: lama,,boiteux,lame,lahm,kulawy,хромой
LAM/BASTON/,lam/baston/o,F,,,béquille,crutch,Krücke,kula (do chodzenia),костыль
LAMP/,lamp/o,F,BRO6: lampo,,lampe,lamp,Lampe,lampa,лампа
LAMPIR/,lampir/o,F,,,verluisant,glow-worm,Leuchtkäfer,świetlik,свѣтлякъ
LAN/,lan/o,F,BRO7: lano,,laine,wool,Wolle,wełna,шерсть
LAND/,land/o,F,BRO2: lando,,pays,"land, country",Land,kraj,страна
LANG/,lang/o,F,BRO5: lango,,langue (organe),tongue (organ of speech) AK,Zunge,język (narząd),языкъ (органъ)
LANTERN/,lantern/o,F,BRO9: lanterno,,lanterne,lantern,Laterne,latarnia,фонарь
LANUG/,lanug/o,F,,,"duvet, poils follets","down, fluff (of feathers) AK",Flaumfeder,"puch, puszek",пухъ
LARD/,lard/o,F,BRO9: lardo,,lard,bacon AK,Speck,sadło,сало
LARĜ/,larĝ/a,F,BRO4: larĝa,,large,broad,breit,szeroki,широкій
LARING/,laring/o,F,,,larynx,larynx,Kehle,krtań,гортань
LARM/,larm/o,F,BRO7: larmo,,larme,tear (subst.) (shed a) AK,Thräne,łza,слеза
LARV/,larv/o,F,BRO9: larvo,,larve,chrysalis,Larve,"poczwarka, liszka",личинка
LAS/,las/i,F,BRO3: lasi,,"laisser, abandonner AK","leave, let alone",lassen,"puszczać, zostawiać","пускать, оставлять"
LAST/,last/a,F,BRO2: lasta,,dernier,"last, latest",letzt,ostatni,послѣдній
LAŬ,laŭ,F,BRO1: laŭ,,"selon, d’après",according to,"nach, gemäss",według,"по, согласно"
LAŬ/LARĜ/,laŭ/larĝ/e,F,,,à travers,"across, in width","der Breite nach, quer AK",poprzek,поперекъ
LAŬ/LONG/,laŭ/long/e,F,,,le long,along,"entlang, der Länge nach",wdłuź,вдоль
LAŬB/,laŭb/o,F,BRO9: laŭbo,,"tonnelle, berceau","arbour, summer-house AK",Laube,altanka,бесѣдка
LAŬD/,laŭd/i,F,BRO7: laŭdi,,"louer, vanter",praise,loben,chwalić,хвалить
LAŬR/,laŭr/o,F,,,laurier,laurel (tree) AK,Lorbeer,"wawrzyn, laur",лавръ
LAŬT/,laŭt/a,F,BRO7: laŭta,,haut (parler),loud,laut AK,głośno,громко
LAV/,lav/i,F,BRO4: lavi,,laver,wash,waschen,"myć, prać AK",мыть
LAVANG/,lavang/o,F,,,avalanche AK,avalanche,Lawine,lawina,лавина
LECION/,lecion/o,F,BRO6: leciono,,leçon,lesson,Lektion,lekcya,урокъ
LED/,led/o,F,BRO7: ledo,,"cuir, peau (des bêtes)",leather,Leder,skóra (wyrobiona) AK,кожа (выделанная) AK
LEG/,leg/i,F,BRO2: legi,,lire,read,lesen,czytać,читать
LEGEND/,legend/o,F,,,légende,legend,Sage,legenda,легенда
LEGI/,legi/o,F,,,légion,legion,Legion,legjon,легіонъ
LEGOM/,legom/o,F,BRO6: legomo,,légume,vegetable (eatable) AK,Gemüse,"jarzyna, warzywo",овощь
LEĜ/,leĝ/o,F,BRO5: leĝo,,loi,law,Gesetz,"prawo, ustawa AK",законъ
LEK/,lek/i,F,BRO8: leki,,lécher,lick,lecken,lizać,лизать
LEKANT/,lekant/o,F,,,marguerite (petite -) AK,marguerite AK,(weisse) Gänseblume AK,złocień pospolity,маргаритка
LEKSIKON/,leksikon/o,F,,,lexique AK,lexicon,Lexicon,słownik,лексиконъ
LENT/,lent/o,F,,,lentille,lentil,Linse,soczewka,чечевица
LENTUG/,lentug/o,F,,,tache de rousseur AK,freckle,Sommersprosse,pieg,веснушка
LEON/,leon/o,F,BRO7: leono,,lion,lion,Löwe,lew,левъ
LEONTOD/,leontod/o,F,,,dent de lion,dandelion,Löwenzahn (Pflanze) AK,lwi ząb (roślina) AK,одуванчикъ
LEOPARD/,leopard/o,F,,,léopard,leopard,Leopard,lampart,леопардъ
LEPOR/,lepor/o,F,BRO7: leporo,,lièvre,hare,Hase,zając,заяцъ
LEPR/,lepr/o,F,,,lèpre,leprosy,Aussatz,trąd,проказа
LERN/,lern/i,F,BRO2: lerni,,apprendre,learn,lernen,uczyć się,учиться
LERN/EJ/,lern/ej/o,F,,,école,school,Schule,"szkoła, uczelnia",школа
LERT/,lert/a,F,BRO5: lerta,,"adroit, habile, agile",skilful,"geschickt, gewandt AK",zręczny,ловкій
LESIV/,lesiv/o,F,BRO9: lesivo,,lessive,"lye, buck (for bleaching) AK",Lauge,ług,щелокъ
LETER/,leter/o,F,BRO3: letero,,"lettre, épître",letter,Brief,list,письмо
LEŬTENANT/,leŭtenant/o,F,BRO9: leŭtenanto,,lieutenant,lieutenant,Lieutenant,"porucznik, lejtnant","поручик, лейтенант AK"
LEV/,lev/i,F,BRO2: levi,,"lever, ramasser AK","lift, raise",heben AK,podnosić,поднимать
LEV/IL/,lev/il/o,F,,,levier,"leaver, lever",Hebel,dźwignia,рычагъ
LEVKOJ/,levkoj/o,F,,,giroflée,"wall-flower, gilly flower AK",Levkoje,lewkonja,левкой
LI,li,F,BRO1: li,,"il, lui",he,er,on,онъ
LI/A,li/a,F,,,"son, sa",his,sein,jego,его
LIAN/,lian/o,F,,,"liane, liène",liana (bot.) AK,Liane,ljana,лиана AK
LIBEL/,libel/o,F,,,libellule AK,dragon fly,Libelle,konik polny,стрекоза
LIBER/,liber/a,F,BRO2: libera,,libre,free,frei,wolny,свободный
LIBR/,libr/o,F,BRO3: libro,,livre,book,Buch,księga; książka,книга
LIBR/O/TEN/ANT/O,libr/o/ten/ant/o,F,,,teneur de livres,book-keeper AK,Buchhalter,buchalter,бухгалтеръ
LIEN/,lien/o,F,,,rate,spleen,Milz,śledziona,селезенка
LIG/,lig/o,F,BRO4: ligo,,lier,"bind, tie",binden,"wiązać, łączyć AK",связывать
LIGN/,lign/o,F,BRO4: ligno,,bois,wood (the substance),Holz,"drzewo, drwa",дрова
LIKEN/,liken/o,F,,,"dartre (méd.), lichen (bot.) AK",lichen (bot.) AK,Flechte,liszaj,лишай
LIKVID/,likvid/i,F,,,liquider,liquidate,"abrechnen, liquidiren",likwidować,ликвидировать
LIKVOR/,likvor/o,F,,,liqueur,liqueur (a cordial) AK,Liqueur,likier,ликеръ
LILI/,lili/o,F,BRO9: lilio,,lis,lily,Lilie,lilja,лилія
LIM/,lim/o,F,BRO5: limo,,"limite, confins, frontière AK",limit,Grenze,granica,граница
LIM/IG/,lim/ig/i,F,,,restreindre,limit (vb.) AK,beschränken,ograniczać,ограничивать
LIMAK/,limak/o,F,BRO9: limako,,"limaçon, escargot",snail,Schnecke,ślimak,улитка
LIMONAD/,limonad/o,F,,,limonade,lemonade,Limonade,lemoniada,лимонадъ
LIN/,lin/o,F,BRO9: lino,,lin,flax,Flachs,len,ленъ
