Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
KAMEL/,kamel/o,F,BRO9: kamelo,,chameau,camel,Kameel,wielbłąd,верблюдъ,,,,
KAMELI/,kameli/o,1OA,,,camélia,camelia,Kamelie,kamelja,камелія,,,,
KAMEN/,kamen/o,F,BRO6: kameno,,cheminée,fire-place,Kamin,kominek,каминъ,,,,
KAMEN/TUB/,kamen/tub/o,F,,,cheminée,chimney,Schornstein,komin,дымовая труба,,,,
KAMER/,kamer/o,F,,,chambre noire  AK,"room (dark), camera  AK",Kammer,"komora, komórka",камера,,,,
KAMFOR/,kamfor/o,F,,,camphre,camphor  AK,Kampher,kamfora,камфора,,,,
KAMION/,kamion/o,8OA,BRO8: kamiono,kamion/o. Granda aŭtomobila veturilo por pezaj ŝarĝoj.,camion,"lorry, truck","Lastkraftwagen, Lastauto, Laster",,,camión,camion,,"camião, caminhão"
KAMIZOL/,kamizol/o,F,,,camisole,waistcoat,Brustwamms,kaftanik,фуфайка,,,,
KAMLOT/,kamlot/o,F,,,camelot (étoffe)  AK,camlet (cloth)  AK,Camelot,kamlot,камлотъ,,,,
KAMOMIL/,kamomil/o,F,,,camomille,camomile,Kamille,rumianek,ромашка,,,,
KAMP/,kamp/o,F,BRO2: kampo,,"champ, campagne",field,Feld,pole,поле,,,,
KAMPANJ/,kampanj/o,9OA,,kampanj/o 1 Serio da militaj manovroj kun difinita celo en iu regiono: la Ruslanda kampanjo de la Granda Armeo en la jaro 1812a. 2 Intensa publika agado por akiri subtenon de homoj por afero: la mediprotektantoj faris kampanjon por reutiligo de rubaĵoj; elekta kampanjo. kampanj/i. Fari kampanjon: ili kampanjis por la maldekstra partio; li kampanjas kontraŭ la nova leĝo.,,,,,,,,,
KAN/,kan/o,F,,,"roseau, canne",cane (reed)  AK,"Schilf, Rohr  AK",trzcina,"тростник, камыш  AK",,,,
KANAB/,kanab/o,F,,,chanvre,hemp,Hanf,konopie  AK,конопля,,,,
KANABEN/,kanaben/o,2OA,,,linotte,linnet,Hänfling,,,,,,
KANAD/,Kanad/o,8OA,,,,,,,,,,,
KANAJL/,kanajl/o,F,,,canaille,"scoundrel, rascal  AK",Canaille,łajdak,каналья,,,,
KANAL/,kanal/o,1OA,BRO9: kanalo,,canal,channel,Kanal,kanał,каналъ,,,,
KANAP/,kanap/o,F,,,canapé,"sofa, lounge",Kanapee,kanapa,диванъ,,,,
KANARI/,kanari/o,F,,,"canari, serin",canary,Kanarienvogel,kanarek,канарейка,,,,
KANCELARI/,kancelari/o,F,,,chancellerie,chancery,Kanzlei,kancelarya,канцелярія,,,,
KANCELIER/,kancelier/o,F,,,chancelier,chancellor,Kanzler,kanclerz,канцлеръ,,,,
KANCER/,kancer/o,9OA,,kancer/o. Grava malsano karakterizata de malnormala kaj danĝera multobliĝo de ĉeloj: pulmokancero; mamokancero.,,,,,,,,,
KAND/,kand/o,F,,,candi (sucre),sugar-candy,Candelzucker,cukier lodowaty,леденецъ,,,,
KANDEL/,kandel/o,F,BRO8: kandelo,,chandelle,candle,"Licht, Kerze",świeca,свѣча,,,,
KANDELABR/,kandelabr/o,3OA,,,candélabre,candelabrum,Kandelaber,kandelabr,,candelabro (noto),candelabre (noto),,candelabre
KANDIDAT/,kandidat/o,1OA,BRO9: kandidato,,candidat,candidate,Kandidat,kandydat,кандидатъ,,,,
KANGURU/,kanguru/o,9OA,,"kanguru/o. Aŭstralia mamulo, kiu havas tre mallongajn antaŭajn krurojn, tre longajn kaj fortajn malantaŭajn krurojn, per kiuj ĝi sin movas salte, kaj tre muskolan apogan voston, kaj kies ino havas ventran haŭtpoŝon, en kiu restas la idoj dum la unua tempo post la naskiĝo. (Macropodinae aŭ pli vastasence Macropodidae.)",,,,,,,,,
KANIBAL/,kanibal/o,1OA,,,cannibale,cannibal,Kannibale,ludożerca (noto),людоѣдъ,,,,
KANKR/,kankr/o,F,BRO9: kankro,,écrevisse,crab,Krebs,rak,ракъ,,,,
KANON/,kanon/o,1OA,,,"canon (artil., relig.)","cannon, canon","Kanon, Kanone","armata, kanon","пушка, канонъ",,,,
KANONIK/,kanonik/o,1OA,,,chanoine,prebendary,Kanonikus,kanonik,каноникъ,,,,
KANT/,kant/i,F,BRO3: kanti,,chanter,sing,singen,śpiewać,пѣть,,,,
KANTARID/,kantarid/o,F,,,cantharide,cantharide,spanische Fliege,mucha hiszpańska,шпанская муха,,,,
KANTAT/,kantat/o,1OA,,,cantate,cantata,Kantate,kantata,кантата,,,,
KANTON/,kanton/o,2OA,,,,,,,,,,,
KANTOR/,kantor/o,F,,,chantre,"chanter, precentor  AK",Cantor,"kantor, śpiewak kościelny",канторъ,,,,
KANVAS/,kanvas/o,F,,,canevas,canvass (material)  AK,Canevas,kanwa,канва,,,,
KANZON/,kanzon/o,8OA,BRO8: kanzono,"kanzon/o. Versaĵo, plej ofte gaja, sprita aŭ moka, konsistanta el egalaj strofoj finiĝantaj per refreno kaj destinita esti kantata.",chanson,"(chanson), (little) song","Lied, Gesang, Chanson",,,canción,canzone,,"canção, modinha"
KAP/,kap/o,F,BRO2: kapo,,tête,head,Kopf,głowa,голова,,,,
KAPABL/,kapabl/a,F,BRO5: kapabla,,"capable, apte",capable,fähig,zdolny,способный,,,,
KAPEL/,kapel/o,F,,,chapelle,chapel,Kapelle,kapela,капелла,,,,
KAPITAL/,kapital/o,1OA,BRO8: kapitalo,,capital (fonds),capital,Kapital,kapitał,капиталъ,,,,
KAPITAN/,kapitan/o,F,,,capitaine,captain,Hauptmann,kapitan,капитанъ,,,,
KAPITEL/,kapitel/o,F,,,chapiteau,capital (of pillar)  AK,Säulenknauf,"kapitel, głowica  AK",капитель,,,,
KAPITULAC/,kapitulac/i,F,,,capituler,capitulate,capituliren,kapitulować,"капитулировать, сдаться  AK",,,,
KAPON/,kapon/o,F,,,chapon,capon,Kapaun,kapłón,каплунъ,,,,
KAPOR/,kapor/o,F,,,câpre,caper (berry)  AK,Kaper,kaparki,каперсъ,,,,
KAPORAL/,kaporal/o,1OA,,,caporal,corporal,Korporal,kapral,капралъ,,,,
KAPOT/,kapot/o,F,,,capote,greatcoat (with cape)  AK,Capot,kapota,плащ с капюшоном  AK,,,,
KAPR/,kapr/o,F,BRO6: kapro,,bouc,goat,Ziege  AK,kozioł,козелъ,,,,
KAPREOL/,kapreol/o,F,,,chevreuil,"roe, roe-buck",Reh,sarna,козуля,,,,
KAPRIC/,kapric/a,F,BRO8: kaprica,,caprice,"caprice, whim","Caprice, Laune",kaprys,капризъ,,,,
KAPSIK/,kapsik/o,9OA,,"kapsik/o 1 Kreskaĵo, kiu produktas kapsikon 2. (Capsicum.) 2 Verda, ruĝa aŭ flava longforma frukto de kapsiko 1, kun multaj semoj pendantaj interne, uzata kiel legomo kaj kiel spico: akra kapsiko; neakra kapsiko; el kapsiko oni faras paprikon. kapsik/et/o. Malgranda ordinare tre akra kapsiko 2.",,,,,,,,,
KAPSUL/,kapsul/o,F,,,capsule,capsule,Kapsel,kapsułka,капсуля,,,,
KAPT/,kapt/i,F,BRO4: kapti,,"attraper, capturer, prendre, saisir  AK",catch,fangen,chwytać,ловить,,,,
KAPT/IL/,kapt/il/o,F,,,piège,"trap, pit-fall","Schlinge, Falle",sidło,силокъ,,,,
KAPUCEN/,kapucen/o,F,,,capucin,capuchin friar,Kapuziner,kapcyn,капуцинъ,,,,
KAPUĈ/,kapuĉ/o,F,,,"capuce, capuchon","cowl, hood  AK",Kapuze  AK,kaptur,капюшон  AK,,,,
KAR/,kar/a,F,BRO4: kara,,cher,dear,theuer,drogi,дорогой,,,,
KARABEN/,karaben/o,F,,,carabine,carabine,Karabiner,karabin,карабинъ,,,,
KARAF/,karaf/o,F,BRO9: karafo,,carafe,"caraffe, decanter",Caraffe,karafka,графинъ,,,,
KARAKTER/,karakter/o,F,BRO7: karaktero,,caractère,character,Charakter,charakter,характеръ,,,,
KARAKTERIZ/,karakteriz/i,1OA,,,caractériser,characterize,"charakterisieren, kennzeichnen",charakteryzować,характеризовать,,,,
KARAMBOL/,karambol/i,1OA,,,caramboler,to cannon at billiards,karambolieren,karambolować,карамболировать,,,,
KARAMEL/,karamel/o,2OA,,,,,,,,,,,
KARAS/,karas/o,F,,,carassin (poisson),crucian (fish)  AK,Karausche,karaś,карась,,,,
KARAT/,karat/o,1OA,,,carat,carat,Karat,karat,каратъ,,,,
KARAVAN/,karavan/o,1OA,,,caravane,caravan,Karawane,karawana,караванъ,,,,
KARB/,karb/o,F,BRO6: karbo,,charbon,coal,Kohle,węgiel,уголь,,,,
KARBON/,karbon/o,4OA,,,carbone,carbon,Kohlenstoff,,,carbono,carbonio,carbó (noto),carbone
KARCER/,karcer/o,1OA,,,cachot,dungeon,Karzer,"koza, areszt",карцеръ,,,,
KARD/,kard/o,F,,,chardon,thistle,Distel,oset,чертополохъ,,,,
KARDEL/,kardel/o,F,,,chardonneret,thistle-finch,"Stieglitz, Distelfink",szczygieł,"щеголъ, щегленокъ",,,,
KARDINAL/ (ekl.),kardinal/o,2OA,,,,,,,,,,,
KARES/,kares/i,F,BRO8: karesi,,caresser,caress,liebkosen,piescić,ласкать,,,,
KARIER/,karier/o,3OA,,,carrière (profession),career,"Karriere, Laufbahn",karjera,,carrera,carriera,,carreira
KARIKATUR/,karikatur/o,2OA,,,,,,,,,,,
KARIOFIL/,kariofil/o,F,,,girofle (clou de),clove,Nelke,goździk,гвоздика,,,,
KARIOL/,kariol/o,3OA,,kariol/o. Durada simpla norvega veturilo.,carriole,cariole,"Karriole, Karren",,,carriola,"carrozzino, carrozzella",,"kariol, carruagem noruegueza"
KARMIN/,karmin/o,F,,,carmin,carmine,Carmin,karmin,карминъ,,,,
KARN/,karn/o,1OA,BRO9: karno,,chair,flesh,Fleisch (am Körper),ciało,мясо (на тѣлѣ) (noto),,,,
KARNAVAL/,karnaval/o,F,BRO9: karnavalo,,carnaval,carnival  AK,"Karneval, Fasching  AK",karnawał,"карнавалъ, масляница",,,,
KARO/,karo/o,F,,,carreau (cartes),diamonds (cards)  AK,Carreau (in Karten),karo,бубны,,,,
KAROB/,karob/o,F,,,caroube,"carrob-bean, locust (fruit)  AK",Johannisbrod,chleb św. Jana,сладкій рожокъ,,,,
KAROSERI/,karoseri/o,9OA,,"karoseri/o. Ekstera (supra) korpo de aŭto aŭ de simila veturilo, kontraste al eventuala ĉasio: memportanta karoserio (= karoserio sen ĉasio).",,,,,,,,,
KAROT/,karot/o,F,BRO7: karoto,,carotte,carrot,"Möhre, Mohrrübe",marchew,морковь,,,,
KARP/,karp/o,F,BRO9: karpo,,carpe (poisson),carp (fish),Karpfen,karp,карпъ,,,,
KARPEN/,karpen/o,F,,,charme (bot.)  AK,yoke-elm,"Hagebuche, Hornbaum",grab,"грабъ, грабина",,,,
KART/,kart/o,F,BRO5: karto,,carte,card,Karte,karta; mapa,карта,,,,
KARTAV/,kartav/i,F,,,grasseyer,trill the r strongly  AK,schnarren (beim Sprechen),szeplenić  AK,картавить,,,,
KARTILAG/,kartilag/o,F,,,cartilage,cartilage,Knorpel,chrząstka,хрящъ,,,,
KARTOĈ/,kartoĉ/o,F,,,cartouche (subst. fém.)  AK,cartridge (for gun)  AK,Kartätsche,kartacz,картечь,,,,
KARTOGRAF/,kartograf/o,7OA,,,,,,,,,,,
KARTOGRAFI/,kartografi/o,2OA,,,,,,,,,,,
KARTON/,karton/o,F,BRO9: kartono,,carton,cardboard  AK,Pappe,tektura,"картонъ, папка",,,,
KARTUŜ/ (arĥ.),kartuŝ/o,2OA,,,,,,,,,,,
KARUSEL/,karusel/o,F,,,carrousel,roundabout  AK,Carroussel,karuzela,карусель,,,,
KAS/,kas/o,F,BRO8: kaso,,caisse (fonds)  AK,"till, cash-box, chest (money)  AK",Kasse,kassa,касса,,,,
KASED/,kased/o,9OA,,"kased/o. Speciala skatoleto, kiu enhavas kaj protektas sonbendon, filmon aŭ ion similan, kaj kiun oni povas, sen ĝin malfermi, meti en aparaton por uzi tiun enhavaĵon.",,,,,,,,,
KASEROL/,kaserol/o,F,BRO7: kaserolo,,casserole,"stewpan, saucepan  AK",Casserolle,rondel,кострюля,,,,
KASK/,kask/o,F,,,casque,helmet,Helm,"hełm, szyszak",шлемъ,,,,
KASKED/,kasked/o,8OA,BRO9: kaskedo,"kasked/o. Ĉapo kun viziero, portata aŭ de uniformuloj, aŭ de civiluloj. Rimarko: la kaskedo estas pli plata, iafoje kap-ronda; la kepo estas pli alta, ordinare cilindra.",casquette,(peaked) cap,(Schirm-)Mütze,,,"gorra, (casquette)",berretto,,boné
KAST/,kast/o,1OA,,,caste,caste,Kaste,kasta,каста,,,,
KASTANJET/,kastanjet/o,4OA,,,castagnettes,castanet,spanische Tanzklapper,,,"castañetas, castañuelas","castagnette, nacchere","castanyetas, castanyolas (noto)",castanholas
KASTEL/,kastel/o,F,BRO8: kastelo,,château,castle,"Schloss, Kastell",zamek (obronny)  AK,замокъ,,,,
KASTOR/,kastor/o,F,,,castor,beaver,Biber,bóbr,бобръ,,,,
KASTR/,kastr/i,F,,,châtrer,castrate  AK,castriren,"rzezać, wałaszyć",кастрировать,,,,
KAŜ/,kaŝ/i,F,BRO4: kaŝi,,cacher,hide (vb.),"verbergen, verhehlen",chować,прятать,,,,
KAŜTAN/,kaŝtan/o,F,BRO9: kaŝtano,,châtaigne,chestnut,Kastanie,kasztan,каштанъ,,,,
KAT/,kat/o,F,BRO4: kato,,chat,cat,Katze,kot,котъ,,,,
KATAFALK/,katafalk/o,1OA,,,catafalque,catafalque,"Katafalk, Leichengerüst",katafalk,катафалкъ,,,,
KATAKOMB/,katakomb/o,2OA,,,,,,,,,,,
KATALEPSI/,katalepsi/o,1OA,,,catalepsie,catalepsy,Starrsucht,katalepsja,каталепсія,,,,
KATALOG/,katalog/o,1OA,BRO9: katalogo,,catalogue,catalogue,Katalog,katalog,каталогъ,,,,
KATAPLASM/,kataplasm/o,F,,,cataplasme,poultice,"Umschlag, Pflaster  AK",kataplazm,припарка,,,,
KATAPULT/,katapult/o,9OA,,"katapult/o 1 Malnova militmaŝino, kiu pafis ŝtonojn k.a. pere de longa streĉita brako aŭ pere de diversaj aliaj meĥanismoj. 2 Pafileto en la formo de Y, kun kaŭĉuka ŝnuro (rubando), per kiu oni (precipe infanoj) pafas ŝtonetojn k.s. 3 Meĥanika aparato, por antaŭenĵeti aviadilon for de la ferdeko de ŝipo, aŭ glisilon for de la grundo.",,,,,,,,,
KATAR/,katar/o,F,BRO7: kataro,,catarrhe,catarrh,"Schnupfen, Katarrh",katar,"насморкъ, катаръ",,,,
KATARAKT/,katarakt/o,F,,,cataracte (yeux),cataract (eye)  AK,Staar (Augenkrankheit),katarakta,катаракта,,,,
KATASTROF/,katastrof/o,1OA,,,catastrophe,catastrophe,Katastrophe,katastrofa,катастрофа,,,,
KATEDR/,katedr/o,1OA,,,chaire,chair of state,"Katheder, Kanzel",katedra,каѳедра,,,,
KATEDRAL/,katedral/o,2OA,,,,,,,,,,,
KATEGORI/,kategori/o,1OA,BRO9: kategorio,,catégorie,category,Kategorie,kategorja,категорія,,,,
KATEĤIST/,kateĥist/o,3OA,,,catéchiste,catechist,Katechist,katecheta,,catequista,catechista,,catechista
KATEĤIZ/,kateĥiz/i,3OA,,,catéchiser,to catechise,katechizieren,,,catequizar,catechizzare,,
KATEKIST/,katekist/o,3OA,,,catéchiste,catechist,Katechist,katecheta,,catequista,catechista,,catechista
KATEKIZ/,katekiz/i,3OA,,,catéchiser,to catechise,katechizieren,,,catequizar,catechizzare,,
KATEN/,katen/o,F,BRO8: kateno,,chaîne,fetter,Fessel,kajdany,"оковы, кандалы",,,,
KATOLIK/,katolik/a,1OA,,,catholique,catholic,Katholik,katolik,католикъ,,,,
KATUN/,katun/o,F,,,cotonnade  AK,"cotton, calico",Kattun,kreton,ситецъ,,,,
KAŬCI/ (jur.),kaŭci/o,2OA,,,,,,,,,,,
KAŬĈUK/,kaŭĉuk/o,1OA,BRO7: kaŭĉuko,,caoutchouc,india rubber,Kautschuk,kauczuk,каучукъ,,,,
KAŬR/,kaŭr/i,2OA,,,être accroupi,to squat,kauern,,,,,,
KAŬTERIZ/,kaŭteriz/i,F,,,cautériser,cauterise,ätzen,wypalać (medyc.)  AK,прижигать,,,,
KAŬZ/,kaŭz/o,F,BRO4: kaŭzo,,causer,cause,verursachen,"powodować, sprawiać",причинять,,,,
KAŬZ/O,kaŭz/o,F,,,cause,cause,Ursache,przyczyna,причина,,,,
KAV/,kav/o,F,BRO7: kavo,,"fosse, creux","cavity, hollow  AK",Grube,"dół, loch",яма,,,,
KAVALERI/,kavaleri/o,1OA,,,cavalerie,cavalry,Kavallerie,jazda,конница,,,,
KAVALIR/,kavalir/o,F,,,chevalier,"cavalier, knight",Ritter,rycerz,рыцарь,,,,
KAVERN/,kavern/o,F,BRO9: kaverno,,caverne,cavern,Höhle,"jaskinia, pieczara",пещера,,,,
KAVIAR/,kaviar/o,F,,,caviar,caviare,Kaviar,kawior,"икра (рыб, амфибий)  AK",,,,
KAZ/,kaz/o,F,BRO9: kazo,,cas (gram.)  AK,case (gram.)  AK,"Kasus, Fall  AK",przypadek (gramat.)  AK,падеж (грамматич.)  AK,,,,
KAZE/,kaze/o,F,,,fromage blanc  AK,curds  AK,Quark,twaróg,творогъ,,,,
KAZEMAT/,kazemat/o,2OA,,,,,,,,,,,
KAZERN/,kazern/o,1OA,,,caserne,barracks,Kaserne,koszary,казарма,,,,
KAZIN/,kazin/o,2OA,,,,,,,,,,,
KE,ke,F,BRO1: ke,,que,that (conj.),dass  AK,"że, żeby","что, чтобы",,,,
KEGL/,kegl/o,F,,,quille,skittle  AK,Kegel,kręgiel,"кегель, кегля",,,,
KEJL/,kejl/o,8OA,BRO9: kejlo,"kejl/o. Ligna aŭ metala peco, ordinare konusa, uzata anstataŭ najlo, por perforte ŝtopi truon aŭ rigide kunfiksi du partopecojn.",cheville (de bois),peg,"Pflock, Zapfen, Keil (Verbindungsteil zum Befestigen—Verkeilen—von Rädern, Riemenscheiben auf Wellen)",,,clavija,"cavicchio, caviglia, cuneo",,cavilha
KEL/,kel/o,F,BRO6: kelo,,cave (la),cellar,Keller,piwnica,погребъ,,,,
KELK/,kelk/a,F,BRO2: kelka,,quelque,"some, a few, certain  AK",mancher,niektóry,нѣкоторый,,,,
KELNER/,kelner/o,F,BRO7: kelnero,,"garçon (d’hôtel, de café)  AK",waiter  AK,Kellner,kelner,"половой, кельнеръ",,,,
KEMI/,kemi/o,8OA,BRO8: kemio,kemi/o. Moderna formo de: ĥemio.,chimie,chemistry,Chemie,,,química (noto),chimica,,química
KEN/,ken/o,F,,,bois résineux,resinous wood,Kienholz,łuczywo,смолистое дерево (также - лучина)  AK,,,,
KEP/,kep/o,2OA,,,képi,cap (milit.),Käppi,,,,,,
KER/,ker/o,F,,,cœur (cartes)  AK,hearts (cards)  AK,Herz,czerwień,черви (въ картахъ),,,,
KERN/,kern/o,F,BRO9: kerno,,noyau,"kernel, pip  AK",Kern,"jądro, pestka  AK",ядро,,,,
KERUB/,kerub/o,F,,,chérubin,cherub,Cherub,cherubin,херувимъ,,,,
KEST/,kest/o,F,BRO6: kesto,,"caisse, coffre","chest, box","Kiste, Kasten, Lade",skrzynia,ящикъ,,,,
KIA,kia,F,BRO1: kia,,quel,of what kind,"was für ein, welcher",jaki,какой,,,,
KIAL,kial,F,BRO1: kial,,pourquoi,"why, wherefore",warum,dlaczego,почему,,,,
KIAM,kiam,F,BRO1: kiam,,"quand, lorsque",when,"als, wann, wenn  AK",kiedy,когда,,,,
KIBUC/,kibuc/o,9OA,,kibuc/o. Speco de kooperativa vilaĝo Israela kun komuna havaĵo.,,,,,,,,,
KIE,kie,F,BRO1: kie,,où,where,wo,gdzie,гдѣ,,,,
KIEL,kiel,F,BRO1: kiel,,comment,how,wie,jak,какъ,,,,
KIES,kies,F,BRO1: kies,,"à qui? dont, duquel",whose,wessen,czyj,чей,,,,
KIL/,kil/o,F,,,quille (de bateau)  AK,keel  AK,Kiel (eines Schiffes),"tram, kil  AK",киль,,,,
KILOGRAM/,kilogram/o,F +1OA +8OA,BRO6: kilogramo,,kilogramme,kilogram,Kilogramm,kilogram,килограммъ,,,,
KILOMETR/,kilometr/o,F +1OA +7OA,BRO8: kilometro,,kilomètre,kilometer,Kilometer,kilometr,километръ,,,,
KIMON/,kimon/o,9OA,,"kimon/o. Japana tradicia vesto longa kun larĝaj manikoj, portata kun larĝa zono el ŝtofo.",,,,,,,,,
KIN/,kin/o,8OA,BRO8: kino,"kin/o. Kinematografio, filmarto.","ciné, cinéma","cinema, film (as an art form)",Filmkunst,,,cine,cinema,,"cinema, cine (arte)"
KININ/,kinin/o,4OA,,,quinine,quinine,Chinin,,,quinina,chinino,quinina,quinino
KIO,kio,F,BRO1: kio,,quoi,what,was,co,что,,,,
KIOM,kiom,F,BRO1: kiom,,combien,how much,wie viel,ile,сколько,,,,
KIOSK/,kiosk/o,9OA,,"kiosk/o 1 Budeto por vendo de varoj (gazetoj, floroj, trinkaĵoj ktp.). 2 Ĝardena (Orient-stila) paviloneto nefermita ĉe unu aŭ pluraj flankoj.",,,,,,,,,
KIRAS/,kiras/o,F,,,cuirasse,cuirass,Kürass,"kirys, pancerz  AK","панцырь, кираса  AK",,,,
KIRL/,kirl/i,3OA,,,"battre en tournant, touiller, faire tourbillonner",to whirl,quirlen,mieszać (noto),,voltear el molinillo (noto),"agitar, frullare",,agitar com o molinete
KIRŜ/ (trinkaĵo),kirŝ/o,2OA,,,,,,,,,,,
KIRURG/,kirurg/o,8OA,BRO9: kirurgo,kirurg/o. Specialisto pri kirurgio.,chirurgien,surgeon,Chirurg,,,cirujano,chirurgo,,cirurgião
KIRURGI/,kirurgi/o,8OA,BRO9: kirurgio,kirurgi/o. Medicina teorio kaj arto kuraci malsanulojn per operacioj.,chirurgie,surgery,Chirurgie,,,cirujía,chirurgia,,cirurgia
KIS/,kis/i,F,BRO6: kisi,,"baiser, embrasser",kiss,küssen,całować,цѣловать,,,,
KITEL/,kitel/o,F,BRO8: kitelo,,"sarrau, blouse  AK","smock, blouse  AK",Kittel,kitel  AK,"китель, балахон  AK",,,,
KIU,kiu,F,BRO1: kiu,,"qui lequel, laquelle","who, which","wer, welcher","kto, który","кто, который",,,,
KLAĈ/,klaĉ/i,4OA,,,"faire des commérages, potiner, cancaner","to gossip, tattle",Klatschereien machen,,,chismear,far pettegolezzi,"comarejar, xerrar, fer-la petar","bisbilhiotar, mexericar"
KLAFT/,klaft/o,F,,,toise (russe),fathom (measure),"Faden, Klafter",sążeń,сажень,,,,
KLAK/,klak/i,3OA,,,claquer,to clack,"klappen, klatschen",klekotać (noto),,chasquear,schioccare,,tagarellar
KLAP/,klap/o,F,,,"clapet, soupape  AK",flap,Klappe,"klapka, zasuwka, zastawka",клапанъ,,,,
KLAR/,klar/a,F,BRO2: klara,,clair (qui n’est pas trouble),clear,klar,"jasny, klarowny  AK",ясный,,,,
KLAR/,Klar/o,F +7OA,,,,,,,,,,,
KLARNET/,klarnet/o,F,,,clarinette,clarinet,Clarinette,klarnet,кларнетъ,,,,
KLAS/,klas/o,F,BRO5: klaso,,classe,class,Classe,klassa,классъ,,,,
KLASIFIK/,klasifik/i,3OA,,,"classifier, classer",to classify,klassifizieren,,,clasificar,classificare,,classificar
KLASIK/,klasik/a,1OA,BRO9: klasika,,classique,classic,klassisch,klasyczny,классическій,,,,
KLAV/,klav/o,F,,,touche,"key (of piano, etc.)  AK",Taste  AK,klawisz,клавишъ,,,,
KLER/,kler/a,F,BRO7: klera,,"cultivé, instruit  AK","well-educated, cultured  AK",gebildet,"wykształcony, światły  AK",образованный,,,,
KLIENT/,klient/o,1OA,BRO8: kliento,,client,client,"Klient, Patient, Kunde",klijent,кліентъ,,,,
KLIMAT/,klimat/o,F,BRO9: klimato,,climat,"climate, clime",Klima,klimat,климатъ,,,,
KLIN/,klin/i,F,BRO5: klini,,"incliner, pencher","bend, incline",neigen,chylić,наклонять,,,,
KLING/,kling/o,2OA,BRO7: klingo,,lame,blade,Klinge,,,,,,
KLINIK/,klinik/o,2OA,BRO9: kliniko,,,,,,,,,,
KLISTER/,klister/o,F,,,clystère,clyster,Klystier,"enema, lewatywa",клистиръ,,,,
KLIŜ/,kliŝ/i,1OA,,,clicher,stereotype,klischieren,robić kliszę,дѣлать клише,,,,
KLITOR/,klitor/o,9OA,,"klitor/o. Malgranda sentema organo ĉe la antaŭo de la vulvo, grava en seksa plezuro ĉe virinoj.",,,,,,,,,
KLOAK/,kloak/o,1OA,,,cloaque,common sewer,Kloake,kloaka,клоака,,,,
KLON/,klon/o,9OA,,"klon/o. Organismo aŭ ĉelo, kiu estas gena kopio de alia organismo aŭ ĉelo. klon/i. Estigi klonon (el organismo/ĉelo); estigi kiel klonon: kloni beston; kloni ĉelon.",,,,,,,,,
KLOPOD/,klopod/i,F,BRO9: klopodi,,"se donner de la peine, faire des démarches  AK",endeavour,"sich anstrengen, sich bemühen  AK","czynić zabiegi, starać się  AK",хлопотать,,,,
KLOR/,klor/o,4OA,,,chlore,chlorine,Chlor,,,cloro,cloro,clor,cloro
KLOŜ/,kloŝ/o,F,,,"cloche (pour couvrir : melon, pendule, etc.)  AK","bell-shaped cover (clock-shade, etc.)  AK","Kappe, Glocke (z. B. über einer Uhr)",klosz,колпакъ (напр. лампы и т.п.),,,,
KLUB/,klub/o,F,BRO9: klubo,,société,"club, association  AK",Club,klub,клубъ,,,,
KLUK/,kluk/i,4OA,,,glousser,to cluck,glucken,,,cloquear,chiocciare,"fer cloc-cloc, cloquejar, escatainar",cacarejar
KLUZ/,kluz/o,F,,,écluse,"sluice, lock  AK",Schleuse,śluza,шлюзъ,,,,
KNAB/,knab/o,F,BRO3: knabo,,petit garçon  AK,boy,Knabe,chłopiec,мальчикъ,,,,
KNAR/,knar/i,4OA,,,"grincer (plume, roue, porte)","to creak (of a wheel, door, hinge, pen)",knarren,,,"rechinar (puerta, rueda, pluma)",stridere,"grinyolar, cruixir",chiar (ferindo o ouvido)
KNED/,kned/i,F,BRO8: knedi,,pétrir,knead,kneten,"ugniatać, mięsić",мѣсить,,,,
KO,ko,F +7OA,,"ko. Nomo de la litero k, dekkvina litero de la Esperanta alfabeto.",,,,,,,,,
KOAKS/,koaks/o,F,,,coke,"coak, coke",Koaks,koks,коксъ,,,,
KOBALT/,kobalt/o,F,,,cobalt,cobalt,Kobalt,kobalt,кобальтъ,,,,
KOBOLD/,kobold/o,F,,,"lutin, farfadet  AK",gnome,Kobold,"kobold, krasnoludek  AK",домовой (духъ),,,,
KOĈENIL/,koĉenil/o,F,,,cochenille,cochineal,Cochenille,koszenila,кошениль,,,,
KOD/,kod/o,9OA,,"kod/o 1 Sistemo de signoj aŭ signaloj por prezenti mesaĝojn aŭ ordonojn: internacia marista signalkodo; Morsa kodo; sepbita kodo; gena kodo; ĉifro estas sekreta kodo. 2 Kodaĵo: poŝta kodo; UEA-kodo; fonta kodo de programo (= fonta teksto de programo). kod/i. Esprimi ion en kodo 1: kodi mesaĝon. mal/kod/i. Ekstrakti informon el koditaĵo: malkodi sendaĵon. kod/aĵ/o. Grupo da signoj, prezentanta koditan informon.",,,,,,,,,
KODEKS/,kodeks/o,9OA,,"kodeks/o. Libro, precipe antikva manuskripto, el falditaj kaj binditaj folioj (kontraste al libro rulforma).",,,,,,,,,
KODICIL/,kodicil/o,2OA,,,,,,,,,,,
KOEFICIENT/,koeficient/o,1OA,,,coefficient,coefficient,Koeffizient,współczynnik,коефиціентъ,,,,
KOFR/,kofr/o,1OA,,,"coffre, malle",coffer,Koffer,kufer,сундукъ,,,,
